uid,code,description
U8Ke6dm9Tw5,D022,D022 Bronchus and lung
QuN4A00xKxD,D023,D023 Other parts of respiratory system
KgeiJdJRgMB,D024,D024 Respiratory system unspecified
gbnR80gptDb,D03,D03 Melanoma in situ
psRp5ZzZEpu,D030,D030 Melanoma in situ of lip
e04iVGW9hCS,D031,D031 Melanoma in situ of eyelid including canthus
ixQu0K1060U,D032,D032 Melanoma in situ of ear and external auricular canal
pQIpTjVX5kR,D033,D033 Melanoma in situ of other and unspecified parts of face
mYNqxCr8rur,D034,D034 Melanoma in situ of scalp and neck
kY5ES1IpwMx,D035,D035 Melanoma in situ of trunk
S3X3LLbxywd,D036,D036 Melanoma in situ of upper limb including shoulder
r8dq8h2IzJy,D037,D037 Melanoma in situ of lower limb including hip
qmIw3Rnl42w,D038,D038 Melanoma in situ of other sites
m2770wKYBFv,D039,D039 Melanoma in situ unspecified
j4RPGb4abih,D04,D04 Carcinoma in situ of skin
bqbaRGjdIvY,D040,D040 Skin of lip
oFarSW2nQTu,D041,D041 Skin of eyelid including canthus
zkNjXqFpP0W,D042,D042 Skin of ear and external auricular canal
v3VtXQRinFC,D043,D043 Skin of other and unspecified parts of face
D4bLCv7ljrN,D044,D044 Skin of scalp and neck
gI5gWAv14hG,D045,D045 Skin of trunk
jKNQLb8ibhy,D046,D046 Skin of upper limb including shoulder
NFmtM6E1Zst,D047,D047 Skin of lower limb including hip
GBK8qbbMrux,D048,D048 Skin of other sites
dXoRe2Mxiwx,D049,D049 Skin unspecified
GWLNheraaD4,D05,D05 Carcinoma in situ of breast
aOvrbsI51iT,D050,D050 Lobular carcinoma in situ
WTzBoBJMMxB,D051,D051 Intraductal carcinoma in situ
K0ochXRXy7O,D057,D057 Other carcinoma in situ of breast
iqtPTvGlESe,D059,D059 Carcinoma in situ of breast unspecified
fqti5sdE1Je,D06,D06 Carcinoma in situ of cervix uteri
B7bnV3Mvg60,D060,D060 Endocervix
pyl5Xu5rLnu,D061,D061 Exocervix
ODHDH3V5Exm,D067,D067 Other parts of cervix
LxZDvWqifl3,D069,D069 Cervix unspecified
j0zpJ67DSfb,D07,D07 Carcinoma in situ of other and unspecified genital organs
vx1GpmLxIya,D070,D070 Endometrium
y3q4wq1Utzb,D071,D071 Vulva
s1SF1qBh1cj,D072,D072 Vagina
HwVxN4Jpf0s,D073,D073 Other and unspecified female genital organs
l2UrkRzf1TO,D074,D074 Penis
pSDj1vJffFO,D075,D075 Prostate
KzHCqVgcypD,D076,D076 Other and unspecified male genital organs
OqDfVDn4yHX,D09,D09 Carcinoma in situ of other and unspecified sites
Hnx0Y0uULoO,D090,D090 Bladder
KEXcJFrMGBq,D091,D091 Other and unspecified urinary organs
ZJdyuZJ31KA,D092,D092 Eye
TkXBnT4G8ak,D093,D093 Thyroid and other endocrine glands
lJZDHnR9RW5,D097,D097 Carcinoma in situ of other specified sites
hYO4hhbm8S9,D099,D099 Carcinoma in situ unspecified
KAtCXS36uCY,D10,D10 Benign neoplasm of mouth and pharynx
WaT7Y5Ku7Q0,D100,D100 Lip
FvbNPAcvX4M,D101,D101 Tongue
s6MgFw0W1Dz,D102,D102 Floor of mouth
Mx8sTaFiX7f,D103,D103 Other and unspecified parts of mouth
w1ZYfAFlY7Z,D105,D105 Other parts of oropharynx
wFrQEt6VKLd,D106,D106 Nasopharynx
PcUyhvXJMMh,D107,D107 Hypopharynx
fVmc523eXIr,D109,D109 Pharynx unspecified
hjauGljCI9T,D11,D11 Benign neoplasm of major salivary glands
B1DVjg1yzc0,D110,D110 Parotid gland
PKKqvgmFzbO,D117,D117 Other major salivary glands
ocA6JmkwUML,D119,D119 Major salivary gland unspecified
IW25KucZ2kd,D12,D12 Benign neoplasm of colon rectum anus and anal canal
RWfIalyv2Ed,D120,D120 Caecum
usDhpxHAeF6,D121,D121 Appendix
GgsLgHJE764,D122,D122 Ascending colon
uiILBPKZu4j,D123,D123 Transverse colon
HNISRBz7crc,D124,D124 Descending colon
H0ygvhIkZyq,D125,D125 Sigmoid colon
kjf6zhfSY7g,D126,D126 Colon unspecified
hyx9Dckbs7P,D127,D127 Rectosigmoid junction
k6Hifm1tzYM,D128,D128 Rectum
CF3k7mSnLnO,D129,D129 Anus and anal canal
uXKrTMYbEci,D13,D13 Benign neoplasm of other and illdefined parts of digestive system
T1OPos2ilyJ,D130,D130 Oesophagus
Nh0qCkc2Jdq,D131,D131 Stomach
Z6ICUqsXF5C,D132,D132 Duodenum
WLRxjev29Ao,D133,D133 Other and unspecified parts of small intestine
DWeOhEdfXcD,D134,D134 Liver
NHJfbix6fwg,D135,D135 Extrahepatic bile ducts
QGaNJRmCW35,D136,D136 Pancreas
bRj1e1D0PqL,D137,D137 Endocrine pancreas
GVUWMS6tFmY,D139,D139 Illdefined sites within the digestive system
iuI0JBTRS9F,D14,D14 Benign neoplasm of middle ear and respiratory system
li3lhGtu4S5,D140,D140 Middle ear nasal cavity and accessory sinuses
AOp15AQMAhc,D142,D142 Trachea
YqunfCr8Vsl,D143,D143 Bronchus and lung
YIdNqh0TzZl,D144,D144 Respiratory system unspecified
KibaezuOGsp,D15,D15 Benign neoplasm of other and unspecified intrathoracic organs
y5ECXGLZN6j,D150,D150 Thymus
Z5JL2j4l2Vs,D151,D151 Heart
WbntHMHeg6D,D152,D152 Mediastinum
EgW5qKK5A2V,D157,D157 Other specified intrathoracic organs
d3EUDgNhM9I,D159,D159 Intrathoracic organ unspecified
QGkKRUqWDLL,D16,D16 Benign neoplasm of bone and articular cartilage
UIHlvavgjN9,D160,D160 Scapula and long bones of upper limb
jVcKrsKuTBS,D161,D161 Short bones of upper limb
pzg0nIOU0hY,D162,D162 Long bones of lower limb
KaVokOZDklJ,D163,D163 Short bones of lower limb
edYpfN0x1cn,D164,D164 Bones of skull and face
M2mGls3WJkg,D165,D165 Lower jaw bone
Q1VgzBx0Qoc,D166,D166 Vertebral column
ESarHo12l51,D167,D167 Ribs sternum and clavicle
Pz7IXKTq1oU,D168,D168 Pelvic bones sacrum and coccyx
wKf0DJdALfT,D169,D169 Bone and articular cartilage unspecified
jfbFCyyPx8o,D17,D17 Benign lipomatous neoplasm
pm8nkIbHlGt,D170,D170 Benign lipomatous neoplasm of skin and subcutaneous tissue of head face and neck
v2K3CCX63sY,D171,D171 Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk
O2qKf7LiEgJ,D172,D172 Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs
jJL9cnqHCsX,D173,D173 Benign lipomatous neoplasm of skin and subcutaneous tissue of other and unspecified sites
tmA3asMRSl9,D174,D174 Benign lipomatous neoplasm of intrathoracic organs
SpnoPPH6EL7,D175,D175 Benign lipomatous neoplasm of intraabdominal organs
B4g7bcXftbM,D176,D176 Benign lipomatous neoplasm of spermatic cord
xb0s0Bh0uvC,D177,D177 Benign lipomatous neoplasm of other sites
OomdVNPgZuk,D179,D179 Benign lipomatous neoplasm unspecified
hieq1iCk9ji,D18,D18 Haemangioma and lymphangioma any site
xQF98FGXfTV,D180,D180 Haemangioma any site
vO8kSZKJYqC,D181,D181 Lymphangioma any site
XpB0SseUgTq,D19,D19 Benign neoplasm of mesothelial tissue
naIPAwBt820,D190,D190 Mesothelial tissue of pleura
SJ6YsftlLum,D191,D191 Mesothelial tissue of peritoneum
L7SMnjDw5Ma,D197,D197 Mesothelial tissue of other sites
LNdm5wP8NNq,D199,D199 Mesothelial tissue unspecified
xZxYD0PQUeq,D20,D20 Benign neoplasm of soft tissue of retroperitoneum and peritoneum
I6QVs4w3eX5,D200,D200 Retroperitoneum
eE35fLYCV4W,D201,D201 Peritoneum
CtI7ivzJub4,D300,D300 Kidney
qVCWzuo6Pk8,D21,D21 Other benign neoplasms of connective and other soft tissue
z4veCk4zqQD,D210,D210 Connective and other soft tissue of head face and neck
iqkrClIo9wU,D211,D211 Connective and other soft tissue of upper limb including shoulder
Gd2Km8w2Y1c,D212,D212 Connective and other soft tissue of lower limb including hip
s9TO83atbOm,D213,D213 Connective and other soft tissue of thorax
EOIgCremQNn,D214,D214 Connective and other soft tissue of abdomen
px802AObdVn,D215,D215 Connective and other soft tissue of pelvis
xq3QqOjzJ4y,D216,D216 Connective and other soft tissue of trunk unspecified
dD3MTBCt9y1,D219,D219 Connective and other soft tissue unspecified
GjCu3XcE0oH,D22,D22 Melanocytic naevi
S2Ll5CYJBe0,D220,D220 Melanocytic naevi of lip
UFNBCE8uwyX,D221,D221 Melanocytic naevi of eyelid including canthus
KwMkuY1G64D,D222,D222 Melanocytic naevi of ear and external auricular canal
L1AElKCagjL,D223,D223 Melanocytic naevi of other and unspecified parts of face
FZPszkhUoup,D224,D224 Melanocytic naevi of scalp and neck
NM3fthsHzqS,D225,D225 Melanocytic naevi of trunk
Jw3DgbLdr3i,D226,D226 Melanocytic naevi of upper limb including shoulder
rMjK59d5D3J,D227,D227 Melanocytic naevi of lower limb including hip
vAOJtOir3d7,D229,D229 Melanocytic naevi unspecified
OLgAFaCu8nz,D23,D23 Other benign neoplasms of skin
iYWSOPKIOUV,D230,D230 Skin of lip
Ai2VVVaN9tB,D231,D231 Skin of eyelid including canthus
G5pREsOnkEb,D232,D232 Skin of ear and external auricular canal
JshBNKsXpCH,D233,D233 Skin of other and unspecified parts of face
B7a3SRkFpRX,D234,D234 Skin of scalp and neck
F3RfotiGey8,D235,D235 Skin of trunk
NvXOR1jaMSB,D236,D236 Skin of upper limb including shoulder
MWRCCaPjuNh,D237,D237 Skin of lower limb including hip
rXCLVzua7I8,D239,D239 Skin unspecified
iZRfkTphNZF,D24,D24 Benign neoplasm of breast
tuxSyoNEiAE,D25,D25 Leiomyoma of uterus
tc4d3Lktzai,D250,D250 Submucous leiomyoma of uterus
fNWnKbTfPyU,D251,D251 Intramural leiomyoma of uterus
jevqBiAkmnu,D252,D252 Subserosal leiomyoma of uterus
k5JAwTzD8kP,D259,D259 Leiomyoma of uterus unspecified
BKPT2sTBX3f,D26,D26 Other benign neoplasms of uterus
fAfdcmNTZcP,D260,D260 Cervix uteri
dpxEVJusNBB,D261,D261 Corpus uteri
wA7fjRmyLna,D267,D267 Other parts of uterus
AeC4baSeEKd,D269,D269 Uterus unspecified
V97G1H58RgT,D27,D27 Benign neoplasm of ovary
H3RURzYQnDC,D28,D28 Benign neoplasm of other and unspecified female genital organs
KlOE7z2E5uB,D280,D280 Vulva
x6SoTN9Ab8c,D281,D281 Vagina
bMEDxZbimol,D282,D282 Uterine tubes and ligaments
O82oPSCZUAa,D287,D287 Other specified female genital organs
UMzDaNkXETY,D289,D289 Female genital organ unspecified
QNIv0ypXvlZ,D29,D29 Benign neoplasm of male genital organs
BsrQ3kEGpko,D290,D290 Penis
BunSjcRRSjO,D291,D291 Prostate
GAjCjPAvjxU,D292,D292 Testis
zswUDXnVnPV,D294,D294 Scrotum
FuKvbB8Iabb,D297,D297 Other male genital organs
Q0a2C3kEZO3,D299,D299 Male genital organ unspecified
qQdFsy9Q2zG,D30,D30 Benign neoplasm of urinary organs
pkAF6hxLjg7,D301,D301 Renal pelvis
H6kbmNRKU3E,D302,D302 Ureter
URkaDRoGnQT,D303,D303 Bladder
Ns0ME7KjInM,D304,D304 Urethra
cLjzCxPKXnw,D307,D307 Other urinary organs
WNW8OGm6rrz,D309,D309 Urinary organ unspecified
KYeyOHaGH05,D31,D31 Benign neoplasm of eye and adnexa
sHLd9T9Hfzi,D310,D310 Conjunctiva
d6EkpBBSVxu,D311,D311 Cornea
FGRGoqsrybY,D312,D312 Retina
Twg86fWibYI,D313,D313 Choroid
WfTLAujEOSj,D314,D314 Ciliary body
pxQICRRLmz1,D315,D315 Lacrimal gland and duct
xv2YhvE1jT7,D316,D316 Orbit unspecified
O96DwV4NLOV,D319,D319 Eye unspecified
n0z9w79Tf2p,D32,D32 Benign neoplasm of meninges
KGwQjwLZGtt,D320,D320 Cerebral meninges
GehbH6f2JUh,D321,D321 Spinal meninges
HA4XgJAqk2r,D329,D329 Meninges unspecified
gXTjNtR0jRA,D33,D33 Benign neoplasm of brain and other parts of central nervous system
Yl70HIKTAY5,D330,D330 Brain supratentorial
OG7rjmLXpW7,D331,D331 Brain infratentorial
zT3vRjmpArp,D332,D332 Brain unspecified
C36eYUTBtzP,D333,D333 Cranial nerves
ogRZA4ZvvGr,D334,D334 Spinal cord
U2gKv3XJhkw,D337,D337 Other specified parts of central nervous system
Lul6Jr2zDwU,D339,D339 Central nervous system unspecified
p9SqqHj33aZ,D34,D34 Benign neoplasm of thyroid gland
R21MhPbRc2z,D35,D35 Benign neoplasm of other and unspecified endocrine glands
eqEQ8ejfCpd,D350,D350 Adrenal gland
nZqxJduzg52,D351,D351 Parathyroid gland
tpyrqDBpf5A,D352,D352 Pituitary gland
SPDYYlJjZoY,D353,D353 Craniopharyngeal duct
FjUsehzBE8O,D354,D354 Pineal gland
sB1TPH6nLAa,D355,D355 Carotid body
OBM7Svh48LS,D356,D356 Aortic body and other paraganglia
KQfJyNPt2dM,D357,D357 Other specified endocrine glands
MdMGY61ffrG,D358,D358 Pluriglandular involvement
yJ0Q50o77u9,D359,D359 Endocrine gland unspecified
jKRBTqy9aH2,D36,D36 Benign neoplasm of other and unspecified sites
Gg564VimKnJ,D360,D360 Lymph nodes
g5EIed6i7cM,D361,D361 Peripheral nerves and autonomic nervous system
x1gyqv1nBrW,D367,D367 Other specified sites
xCBLEDNEhEd,D369,D369 Benign neoplasm of unspecified site
mXQQOC0APw8,D37,D37 Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs
G0BUpnTAyQo,D370,D370 Lip oral cavity and pharynx
ftpeW3Rndgf,D371,D371 Stomach
dXAM3c6vWZ0,D372,D372 Small intestine
kkISJtReslS,D373,D373 Appendix
vXFvhng9eKR,D374,D374 Colon
L3oUfmZy1mV,D375,D375 Rectum
GmezovKDMyT,D376,D376 Liver gallbladder and bile ducts
ouy6Zt2yapI,D377,D377 Other digestive organs
y9cDLW4Jnhk,D379,D379 Digestive organ unspecified
InnoOnqaTZG,D38,D38 Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs
tjJ98W4PuC3,D380,D380 Larynx
lkpUrEWWxX0,D381,D381 Trachea bronchus and lung
XIWLn0rQ32T,D382,D382 Pleura
Pod1KSSXgez,D385,D385 Other respiratory organs
EHWhYsNyver,D386,D386 Respiratory organ unspecified
EjAjqjbEKDP,D39,D39 Neoplasm of uncertain or unknown behaviour of female genital organs
qPrCkydRec7,D390,D390 Uterus
ViSFRTYS4Qi,D391,D391 Ovary
CC1g5ttwd5T,D392,D392 Placenta
BrAjiwmiXzV,D397,D397 Other female genital organs
QKgMX1ZjcHq,D399,D399 Female genital organ unspecified
pbgWRYA3mBG,D40,D40 Neoplasm of uncertain or unknown behaviour of male genital organs
nEVvjn9arl7,D400,D400 Prostate
bv9aMzDQVhS,D401,D401 Testis
E8bUVb8T9JA,D407,D407 Other male genital organs
pdwiX6XD0Pt,D409,D409 Male genital organ unspecified
NI6DZSQPJAk,D41,D41 Neoplasm of uncertain or unknown behaviour of urinary organs
ngjP7mtjmnv,D410,D410 Kidney
W6lJ0FVAuNN,D411,D411 Renal pelvis
Uwit72liv3j,D412,D412 Ureter
Jf1HGnvWmW1,D413,D413 Urethra
zDCs7v5TTEI,D414,D414 Bladder
PzFK0zHJ3gb,D417,D417 Other urinary organs
Sn8QWFaSLiL,D419,D419 Urinary organ unspecified
uJhvZV85hG1,D42,D42 Neoplasm of uncertain or unknown behaviour of meninges
ID8MtjIq4q8,D420,D420 Cerebral meninges
Phpsb7472HR,D421,D421 Spinal meninges
i1lKx0C4Fib,D429,D429 Meninges unspecified
lB894e56x3l,D43,D43 Neoplasm of uncertain or unknown behaviour of brain and central nervous system
lqL0UsOu1KN,D430,D430 Brain supratentorial
cz74LAmearo,D431,D431 Brain infratentorial
RqLboXuaUSd,D432,D432 Brain unspecified
BWE0Yjn6kQW,D433,D433 Cranial nerves
zu8iaIOVKki,D434,D434 Spinal cord
fYaeH11VZIS,D437,D437 Other parts of central nervous system
cpEPb0yqXiX,D439,D439 Central nervous system unspecified
jAI228Po9aM,D44,D44 Neoplasm of uncertain or unknown behaviour of endocrine glands
TR4O4E2nqXX,D440,D440 Thyroid gland
J6V8e8Rh1zE,D441,D441 Adrenal gland
ULbNrI61TlY,D442,D442 Parathyroid gland
VPEZETSZIvW,D443,D443 Pituitary gland
x7WOeNWF84o,D444,D444 Craniopharyngeal duct
ZeWrwzr67Ft,D445,D445 Pineal gland
TwjSIa8VyV5,D446,D446 Carotid body
kwTsT19Ffqh,D447,D447 Aortic body and other paraganglia
r9YXEzItwX2,D448,D448 Pluriglandular involvement
Wjgih2i9Ujl,D449,D449 Endocrine gland unspecified
Lw0BwmJ8iyi,D45,D45 Polycythaemia vera
MtgLIzVzYQm,D46,D46 Myelodysplastic syndromes
NO8Aq9DSCHq,D460,D460 Refractory anaemia without sideroblasts so stated
T8x0BFxxgsD,D461,D461 Refractory anaemia with sideroblasts
WJrgRiKYUHX,D462,D462 Refractory anaemia with excess of blasts
LHxNtCJhaZE,D464,D464 Refractory anaemia unspecified
lcJtAAGpJOJ,D465,D465 Refractory anaemia with multilineage dysplasia
pd7G7qDqoIk,D466,D466 Myelodysplastic syndrome with isolated del5q chromosomal abnormality
NOr4mkxEhey,D467,D467 Other myelodysplastic syndromes
tdKKyr4vQiK,D469,D469 Myelodysplastic syndrome unspecified
cv4BE44Je6h,D47,D47 Other neoplasms of uncertain or unknown behaviour of lymphoid haematopoietic and related tissue
KrAKDb6FzsM,D470,D470 Histiocytic and mast cell tumours of uncertain and unknown behaviour
SIfYqZY7Wpz,D471,D471 Chronic myeloproliferative disease
b0dNCFeGloy,D472,D472 Monoclonal gammopathy
T1Yp8KvmvI6,D473,D473 Essential haemorrhagic thrombocythaemia
GKmHQeYHvPn,D475,D475 Chronic eosinophilic leukaemia hypereosinophilic syndrome
CWbBvLWcDvv,D477,D477 Other specified neoplasms of uncertain or unknown behaviour of lymphoid haematopoietic and related tissue
o1DWNfVlC0P,D479,D479 Neoplasm of uncertain or unknown behaviour of lymphoid haematopoietic and related tissue unspecified
M4ffgQ9VJ72,D48,D48 Neoplasm of uncertain or unknown behaviour of other and unspecified sites
cu2KVcRhreM,D480,D480 Bone and articular cartilage
bip66h45MDk,D481,D481 Connective and other soft tissue
ZJjghZAT1Bq,D483,D483 Retroperitoneum
siDZUWvSc8t,D484,D484 Peritoneum
Er9cdTEsHur,D485,D485 Skin
Shhdm02Fw4L,D487,D487 Other specified sites
lQ7onPQ9hsW,D489,D489 Neoplasm of uncertain or unknown behaviour unspecified
waeOcTm0yu1,D50,D50 Iron deficiency anaemia
b8KDCw2Qhd3,D500,D500 Iron deficiency anaemia secondary to blood loss chronic
BYXJQoWaUJ0,D501,D501 Sideropenic dysphagia
Qdlx9vm6FPz,D508,D508 Other iron deficiency anaemias
AciQPHjBBYo,D509,D509 Iron deficiency anaemia unspecified
aAzq7E72T6x,D51,D51 Vitamin B12 deficiency anaemia
t9Do4auva1J,D510,D510 Vitamin B12 deficiency anaemia due to intrinsic factor deficiency
hpXEd1BoL9I,D511,D511 Vitamin B12 deficiency anaemia due to selective vitamin B12 malabsorption with proteinuria
B4ZQdioAxwd,D512,D512 Transcobalamin II deficiency
DY9fqKwcEaJ,D513,D513 Other dietary vitamin B12 deficiency anaemia
u5Lz7gJqi0U,D518,D518 Other vitamin B12 deficiency anaemias
tYhk9t5601B,D519,D519 Vitamin B12 deficiency anaemia unspecified
oZiFlBJYZ5j,D52,D52 Folate deficiency anaemia
AAXOcZciyxA,D520,D520 Dietary folate deficiency anaemia
ljNbRZawtTr,D521,D521 Druginduced folate deficiency anaemia
nG6OlUBeJSI,D528,D528 Other folate deficiency anaemias
MPdhwF6IjDr,D529,D529 Folate deficiency anaemia unspecified
H5orrwr6dBh,D53,D53 Other nutritional anaemias
gzWRtZojUkX,D530,D530 Protein deficiency anaemia
tKtoe02Dqjc,D531,D531 Other megaloblastic anaemias NEC
PyM840uaP7P,D532,D532 Scorbutic anaemia
TX7Ngh4HVYI,D538,D538 Other specified nutritional anaemias
JIIfO6eK0Fj,D539,D539 Nutritional anaemia unspecified
tmAsl8NcM6W,D55,D55 Anaemia due to enzyme disorders
k9Y2KHEoMzX,D550,D550 Anaemia due to glucose6phosphate dehydrogenase G6PD deficiency
Ju8wszrTcyb,D551,D551 Anaemia due to other disorders of glutathione metabolism
fnVWTpmE8uq,D552,D552 Anaemia due to disorders of glycolytic enzymes
DyDAuWqjRdy,D553,D553 Anaemia due to disorders of nucleotide metabolism
dYtLhu7CKuy,D558,D558 Other anaemias due to enzyme disorders
zzWasKVMl19,D559,D559 Anaemia due to enzyme disorder unspecified
oFeVCKjGhwp,D56,D56 Thalassaemia
hbGY8qn9LUi,D560,D560 Alpha thalassaemia
gmS5t0sHwgX,D561,D561 Beta thalassaemia
aZQPpgtXbNu,D562,D562 Deltabeta thalassaemia
CH3UiZvCCcq,D563,D563 Thalassaemia trait
qvjcygxzvKJ,D564,D564 Hereditary persistence of fetal haemoglobin HPFH
o4uaWkmOO4d,D568,D568 Other thalassaemias
LpfJmsqlNXw,D569,D569 Thalassaemia unspecified
nPIrw9kmW8T,D57,D57 Sicklecell disorders
VJqwOrTFr1r,D570,D570 Sicklecell anaemia with crisis
AM5LM9UMsS2,D571,D571 Sicklecell anaemia without crisis
Mwwq3rlEdN2,D572,D572 Double heterozygous sickling disorders
vBiYJaBnarA,D573,D573 Sicklecell trait
GxEwWyg4v8D,D578,D578 Other sicklecell disorders
qxh6RiOFKW0,D58,D58 Other hereditary haemolytic anaemias
mqnn2G9ybY9,D580,D580 Hereditary spherocytosis
u1G8YpEEg8J,D581,D581 Hereditary elliptocytosis
VWLuLOogecJ,D582,D582 Other haemoglobinopathies
ScHYCNa7OSd,D588,D588 Other specified hereditary haemolytic anaemias
jjTObKxPCYn,D589,D589 Hereditary haemolytic anaemia unspecified
XqD4AzNZ93j,D590,D590 Druginduced autoimmune haemolytic anaemia
Gpoj7CElymH,D591,D591 Other autoimmune haemolytic anaemias
X3n5jMX1txP,D592,D592 Druginduced nonautoimmune haemolytic anaemia
Fy8LuficDAW,D593,D593 Haemolyticuraemic syndrome
VGhirOpNiN8,D594,D594 Other nonautoimmune haemolytic anaemias
i6kh3tvHbxW,D595,D595 Paroxysmal nocturnal haemoglobinuria MarchiafavaMicheli
ohGFyDXA3Tk,D596,D596 Haemoglobinuria due to haemolysis from other external causes
skymO9LcpYu,D598,D598 Other acquired haemolytic anaemias
TIFIfOaH9h3,D599,D599 Acquired haemolytic anaemia unspecified
h9HCXZ43vCy,D60,D60 Acquired pure red cell aplasia erythroblastopenia
VCZzRDqgrTc,D600,D600 Chronic acquired pure red cell aplasia
oshIbHApraQ,D601,D601 Transient acquired pure red cell aplasia
X2xzGPFWxZW,D608,D608 Other acquired pure red cell aplasias
KVmCtuELErj,D609,D609 Acquired pure red cell aplasia unspecified
CNnUxlVVxwE,D61,D61 Other aplastic anaemias
xziLzrZj4nb,D610,D610 Constitutional aplastic anaemia
G7qmrHF8r12,D611,D611 Druginduced aplastic anaemia
ubsmEhQGlAF,D612,D612 Aplastic anaemia due to other external agents
uB7S6LHQwSJ,D613,D613 Idiopathic aplastic anaemia
c7FCDXsldAS,D618,D618 Other specified aplastic anaemias
f8i4bZGBxmY,D619,D619 Aplastic anaemia unspecified
xqLzj7j6hMB,D62,D62 Acute posthaemorrhagic anaemia
LGCKrCVMWiG,D63,D63 Anaemia in chronic diseases classified elsewhere
JYdh1gLX2mW,D630,D630 Anaemia in neoplastic disease
Xbg0LYPVdvx,D638,D638 Anaemia in other chronic diseases classified elsewhere
T62dslWEL9F,D64,D64 Other anaemias
fGuJAnB5FPQ,D640,D640 Hereditary sideroblastic anaemia
Ka4YlU9sjef,D641,D641 Secondary sideroblastic anaemia due to disease
Qf4gsPdNg1f,D642,D642 Secondary sideroblastic anaemia due to drugs and toxins
IxNZGfGjSJz,D643,D643 Other sideroblastic anaemias
nzt0GZDnF4n,D644,D644 Congenital dyserythropoietic anaemia
aNf03wJBSR2,D648,D648 Other specified anaemias
obFarYzuCEi,D649,D649 Anaemia unspecified
FJYeLePRSwp,D65,D65 Disseminated intravascular coagulation defibrination syndrome
QOZzaKwQIhE,D66,D66 Hereditary factor VIII deficiency
hO6P7dIxrE2,D67,D67 Hereditary factor IX deficiency
A1OWFiTbhXq,D68,D68 Other coagulation defects
t9xMqVK25c2,D680,D680 Von Willebrands disease
spjPSGVYXbg,D681,D681 Hereditary factor XI deficiency
obdM5kVTuTO,D682,D682 Hereditary deficiency of other clotting factors
UbsNaHCmd4t,D683,D683 Haemorrhagic disorder due to circulating anticoagulants
WJfEsnYk9jn,D684,D684 Acquired coagulation factor deficiency
I0LNDYTAbuo,D685,D685 Primary thrombophilia
GSZorzqKyxA,D686,D686 Other thrombophilia
X8m4GzMEqz4,D688,D688 Other specified coagulation defects
ycThEmr7yqj,D689,D689 Coagulation defect unspecified
A40fU0G10GK,D69,D69 Purpura and other haemorrhagic conditions
zylGxKSFD0t,D690,D690 Allergic purpura
xq877Jkho5L,D691,D691 Qualitative platelet defects
JGFt6ok2akS,D692,D692 Other nonthrombocytopenic purpura
nHKGKABrScI,D695,D695 Secondary thrombocytopenia
fFuV6JxqQqf,D696,D696 Thrombocytopenia unspecified
l0g80q9cmNR,D698,D698 Other specified haemorrhagic conditions
hRMnXhwNUTv,D699,D699 Haemorrhagic condition unspecified
hBYjWAynoLe,D70,D70 Agranulocytosis
gxkqqi2zdWM,D71,D71 Functional disorders of polymorphonuclear neutrophils
jZyRkknFkdF,D72,D72 Other disorders of white blood cells
nYofmyrZvMF,D720,D720 Genetic anomalies of leukocytes
pg4Sez7Brbz,D721,D721 Eosinophilia
IS7aXnv5Tqd,D728,D728 Other specified disorders of white blood cells
eEnf4IKYWDi,D729,D729 Disorder of white blood cells unspecified
KtrlYO3MUDh,D73,D73 Diseases of spleen
rmRD4LmbhRO,D730,D730 Hyposplenism
Ln81xO6awtc,D731,D731 Hypersplenism
HKOb5aq2kPL,D732,D732 Chronic congestive splenomegaly
HfZcSrwYUGD,D733,D733 Abscess of spleen
se2DeeLfcbn,D734,D734 Cyst of spleen
sUhzoa1iJCn,D735,D735 Infarction of spleen
ecJsUd0k7oz,D738,D738 Other diseases of spleen
vWFSWZ9zF8f,D739,D739 Disease of spleen unspecified
B8k25rdUuWU,D74,D74 Methaemoglobinaemia
LOEnfidr84Q,D740,D740 Congenital methaemoglobinaemia
RDJcDhmE71q,D748,D748 Other methaemoglobinaemias
pLHNuvbKvg3,D749,D749 Methaemoglobinaemia unspecified
AX0wt926QZt,D75,D75 Other diseases of blood and bloodforming organs
LRUUgds9A6S,D750,D750 Familial erythrocytosis
gFKkfPkfflo,D751,D751 Secondary polycythaemia
WrO3xDW2bVY,D758,D758 Other specified diseases of blood and bloodforming organs
OMc8lklxy0n,D759,D759 Disease of blood and bloodforming organs unspecified
d56QW147Ye7,D76,D76 Certain diseases involving lymphoreticular tissue and reticulohistiocytic system
rqdRuOBul4n,D761,D761 Haemophagocytic lymphohistiocytosis
qCP3nXBnCAi,D762,D762 Haemophagocytic syndrome infectionassociated
rGXgHFMraUO,D763,D763 Other histiocytosis syndromes
NQVoATo8Ve2,D77,D77 Other disorders of blood and bloodforming organs in diseases classified elsewhere
qYBU2XjbaZe,D80,D80 Immunodeficiency with predominantly antibody defects
U5zMYb1MZiw,D800,D800 Hereditary hypogammaglobulinaemia
jWKfpINqrZj,D801,D801 Nonfamilial hypogammaglobulinaemia
A6nH41nmTus,D802,D802 Selective deficiency of immunoglobulin A IgA
zT1adXANBTj,D803,D803 Selective deficiency of immunoglobulin G IgG subclasses
